Gads;Mēnesis-sk;Dienas;Datums;Mēnesis;Bojā gājušie;Smagi ievainotie;Ievainotie (nesk. smagi);Ievainotie (iesk. smagi);CSNg ar cietušajiem;CSNg SAS;CSNg CP;CSNg skaits;Iedzīvotāju skaits;Bojāgājušie uz miljonu;Smagi ievainotie uz miljonu;
2004;1;31;janvāris 2004;Janvāris;50;96;390;486;397;;;4147;2276,5;259;497;
2004;2;29;februāris 2004;Februāris;31;87;304;391;328;;;4005;2273,8;172;482;
2004;3;31;marts 2004;Marts;34;48;344;392;325;;;3830;2271,2;176;249;
2004;4;30;aprīlis 2004;Aprīlis;32;86;388;474;393;;;3699;2268,5;172;462;
2004;5;31;maijs 2004;Maijs;36;104;505;609;475;;;4079;2266,5;187;541;
2004;6;30;jūnijs 2004;Jūnijs;31;105;484;589;440;;;4039;2264,6;167;565;
2004;7;31;jūlijs 2004;Jūlijs;53;117;479;596;458;;;4082;2262,6;276;609;
2004;8;31;augusts 2004;Augusts;40;95;476;571;448;;;3985;2261;208;495;
2004;9;30;septembris 2004;Septembris;51;134;469;603;485;;;4080;2259,4;275;722;
2004;10;31;oktobris 2004;Oktobris;49;89;451;540;439;;;4097;2257,8;256;464;
2004;11;30;novembris 2004;Novembris;33;116;415;531;416;;;4498;2255,1;178;626;
2004;12;31;decembris 2004;Decembris;76;145;489;634;477;;;4371;2252,4;398;758;
2005;1;31;janvāris 2005;Janvāris;47;73;358;431;368;;;3649;2249,7;246;382;
2005;2;28;februāris 2005;Februāris;20;43;294;337;266;;;3555;2247,6;116;250;
2005;3;31;marts 2005;Marts;17;33;308;341;265;;;4202;2245,4;89;173;
2005;4;30;aprīlis 2005;Aprīlis;22;71;312;383;309;;;3439;2243,3;119;385;
2005;5;31;maijs 2005;Maijs;40;85;448;533;414;;;3953;2241,6;210;447;
2005;6;30;jūnijs 2005;Jūnijs;43;98;496;594;461;;;4067;2240;234;533;
2005;7;31;jūlijs 2005;Jūlijs;47;107;570;677;521;;;4175;2238,3;247;563;
2005;8;31;augusts 2005;Augusts;40;100;481;581;454;;;4246;2237,1;211;527;
2005;9;30;septembris 2005;Septembris;40;64;397;461;385;;;3881;2235,8;218;349;
2005;10;31;oktobris 2005;Oktobris;37;60;363;423;352;;;4112;2234,6;195;316;
2005;11;30;novembris 2005;Novembris;43;39;376;415;330;;;3800;2232,4;235;213;
2005;12;31;decembris 2005;Decembris;46;37;387;424;341;;;4274;2230,1;243;195;
2006;1;31;janvāris 2006;Janvāris;28;40;237;277;239;;;3756;2227,9;148;212;
2006;2;28;februāris 2006;Februāris;20;37;235;272;221;;;3768;2226,2;117;217;
2006;3;31;marts 2006;Marts;29;29;302;331;261;;;4380;2224,5;154;154;
2006;4;30;aprīlis 2006;Aprīlis;25;30;289;319;248;;;3395;2222,8;137;164;
2006;5;31;maijs 2006;Maijs;23;49;355;404;312;;;3959;2221,5;122;260;
2006;6;30;jūnijs 2006;Jūnijs;34;62;439;501;384;;;4360;2220,2;186;340;
2006;7;31;jūlijs 2006;Jūlijs;29;85;533;618;456;;;4419;2218,9;154;451;
2006;8;31;augusts 2006;Augusts;40;65;509;574;455;;;4646;2217,5;213;345;
2006;9;30;septembris 2006;Septembris;42;73;538;611;489;;;4789;2216;231;401;
2006;10;31;oktobris 2006;Oktobris;49;55;458;513;411;;;4762;2214,6;261;293;
2006;11;30;novembris 2006;Novembris;31;50;395;445;366;;;4841;2212,7;171;275;
2006;12;31;decembris 2006;Decembris;57;55;484;539;460;;;5027;2210,7;304;293;
2007;1;31;janvāris 2007;Janvāris;51;56;425;481;412;;;4951;2208,8;272;299;
2007;2;28;februāris 2007;Februāris;28;42;333;375;279;;;4876;2207,3;165;248;
2007;3;31;marts 2007;Marts;35;28;315;343;290;;;4597;2205,9;187;150;
2007;4;30;aprīlis 2007;Aprīlis;28;38;390;428;331;;;4325;2204,4;155;210;
2007;5;31;maijs 2007;Maijs;30;53;486;539;401;;;5153;2203,4;160;283;
2007;6;30;jūnijs 2007;Jūnijs;26;74;482;556;419;;;5062;2202,3;144;409;
2007;7;31;jūlijs 2007;Jūlijs;22;66;589;655;497;;;5296;2201,3;118;353;
2007;8;31;augusts 2007;Augusts;49;85;653;738;555;;;5676;2200,2;262;455;
2007;9;30;septembris 2007;Septembris;37;55;490;545;426;;;5381;2199,2;205;304;
2007;10;31;oktobris 2007;Oktobris;36;47;459;506;403;;;5617;2198,1;193;252;
2007;11;30;novembris 2007;Novembris;36;44;437;481;397;;;5556;2196;200;244;
2007;12;31;decembris 2007;Decembris;41;50;391;441;371;;;4893;2193,9;220;269;
2008;1;31;janvāris 2008;Janvāris;34;54;392;446;336;2062;2847;4909;2191,8;183;290;
2008;2;29;februāris 2008;Februāris;26;36;318;354;283;1944;2569;4513;2189,3;150;207;
2008;3;31;marts 2008;Marts;14;33;323;356;267;2198;2666;4864;2186,7;75;178;
2008;4;30;aprīlis 2008;Aprīlis;22;48;347;395;305;2151;2427;4578;2184,2;123;268;
2008;5;31;maijs 2008;Maijs;19;71;438;509;390;2107;2762;4869;2182,1;103;383;
2008;6;30;jūnijs 2008;Jūnijs;20;86;462;548;401;2004;2510;4514;2179,9;112;480;
2008;7;31;jūlijs 2008;Jūlijs;38;95;470;565;430;2210;2677;4887;2177,8;206;514;
2008;8;31;augusts 2008;Augusts;36;62;475;537;408;2164;2416;4580;2175,7;195;336;
2008;9;30;septembris 2008;Septembris;30;82;337;419;351;2058;2221;4279;2173,7;168;459;
2008;10;31;oktobris 2008;Oktobris;19;99;350;449;370;2018;2428;4446;2171,6;103;537;
2008;11;30;novembris 2008;Novembris;34;59;412;471;359;1653;2370;4023;2168,7;191;331;
2008;12;31;decembris 2008;Decembris;24;66;293;359;296;1592;2269;3861;2165,7;131;359;
2009;1;31;janvāris 2009;Janvāris;35;77;256;333;270;1728;1574;3302;2162,8;191;419;
