GADS;TIPS;MARKA;IG;VECUMS;SEDVIETAS;GARUMS;PLATUMS;KRAVNESIBA;VAI_JAUNS;VIETA_NOV;VIETA_PILS;VIETA_NUTS3;SKAITS;BURTS;Vecums_X
2023;Airu laiva;ADMIRAL;2021;2;2;3,00;1,42;220;Lietots;Daugavpils;DAUGAVPILS;Latgale;1;A;2
2023;Airu laiva;ADMIRAL;2022;1;2;2,80;1,42;170;Lietots;Daugavpils;DAUGAVPILS;Latgale;1;A;1
2023;Airu laiva;ADMIRAL;2022;1;2;2,80;1,42;170;Lietots;Smiltenes novads;Smiltenes novads;Vidzeme;1;A;1
2023;Airu laiva;AKVEREX2022;1;3;3,40;1,30;300;Lietots;Rīga;RĪGA;Rīga;1;A;1
2023;Airu laiva;AKVEREX;2022;1;3;4,00;1,50;400;Lietots;Ogres novads;Ogres novads;Vidzeme;1;A;1
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Alūksnes novads;Alūksnes novads;Vidzeme;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Balvu novads;Balvu novads;Latgale;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Jelgavas novads;Jelgavas novads;Zemgale;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Jēkabpils novads;Jēkabpils novads;Zemgale;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Liepāja;LIEPĀJA;Kurzeme;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Rīga;RĪGA;Rīga;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Valmieras novads;Valmieras novads;Vidzeme;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,15;1,40;300;Jauns;Valmiera;VALMIERA;Vidzeme;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,40;1,30;300;Jauns;Tukuma novads;TUKUMS;Kurzeme;2;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,90;1,40;360;Jauns;Aizkraukles novads;Aizkraukles novads;Zemgale;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,90;1,40;360;Jauns;Alūksnes novads;ALŪKSNE;Vidzeme;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,90;1,40;360;Jauns;Cēsu novads;CĒSIS;Vidzeme;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,90;1,40;360;Jauns;Dienvidkurzemes novads;Dienvidkurzemes novads;Kurzeme;1;A;0
2023;Airu laiva;AKVEREX;2023;0;3;3,90;1,40;360;Jauns;Dienvidkurzemes novads;Dienvidkurzemes novads;Kurzeme;1;A;0
